name,iter,initial_cost,final_cost,compression,total time,time without last rd,mem
text_text_ellisk_2019-01-24T21.58.02,bench010_it12.json,755,755,1.0,150.85,0.0,2569940
text_text_ellisk_2019-01-24T21.58.02,bench011_it15.json,809,804,1.006218905472637,223.27,90.27,1691108
text_text_ellisk_2019-01-24T21.58.02,bench012_it16.json,815,818,0.9963325183374083,230.68,94.498,1892584
text_text_ellisk_2019-01-24T21.58.02,bench013_it19.json,806,806,1.0,118.53,41.736,670432
text_text_ellisk_2019-01-24T22.01.57,bench000_it1.json,188,180,1.0444444444444445,144.31,92.669,582760
text_text_ellisk_2019-01-24T22.01.57,bench001_it2.json,261,258,1.0116279069767442,94.21,51.447,347080
text_text_ellisk_2019-01-24T22.01.57,bench002_it3.json,339,317,1.0694006309148265,980.72,605.9650000000001,1716356
text_text_ellisk_2019-01-24T22.01.57,bench003_it4.json,347,352,0.9857954545454546,596.56,318.026,1378528
text_text_ellisk_2019-01-24T22.01.57,bench004_it5.json,404,402,1.0049751243781095,380.29,158.653,1348096
text_text_ellisk_2019-01-24T22.01.57,bench005_it7.json,574,585,0.9811965811965812,722.27,434.32,1461044
text_text_ellisk_2019-01-24T22.01.57,bench006_it8.json,647,635,1.0188976377952756,729.06,419.891,1153680
text_text_ellisk_2019-01-24T22.01.57,bench007_it9.json,690,679,1.01620029455081,341.25,137.864,1076680
text_text_ellisk_2019-01-24T22.01.57,bench008_it10.json,752,747,1.0066934404283803,391.46,156.735,1065840
text_text_ellisk_2019-01-24T22.01.57,bench009_it11.json,807,806,1.001240694789082,391.5,158.164,1132516
text_text_ellisk_2019-01-24T22.01.57,bench010_it12.json,864,864,1.0,391.38,156.211,1112896
text_text_ellisk_2019-01-24T22.05.53,bench000_it0.json,66,57,1.1578947368421053,23.48,9.148,57424
text_text_ellisk_2019-01-24T22.05.53,bench001_it1.json,77,74,1.0405405405405406,23.15,8.327,58928
text_text_ellisk_2019-01-24T22.05.53,bench002_it2.json,179,177,1.0112994350282485,76.91,44.08,123572
text_text_ellisk_2019-01-24T22.05.53,bench003_it3.json,248,234,1.0598290598290598,163.26,105.119,402988
text_text_ellisk_2019-01-24T22.05.53,bench004_it4.json,227,227,1.0,69.26,35.515,160412
text_text_ellisk_2019-01-24T22.05.53,bench005_it6.json,326,326,1.0,85.43,44.951,190128
text_text_ellisk_2019-01-24T22.05.53,bench006_it9.json,582,570,1.0210526315789474,195.45,103.065,580200
text_text_ellisk_2019-01-24T22.05.53,bench007_it10.json,590,592,0.9966216216216216,100.25,36.417,420708
text_text_ellisk_2019-01-24T22.05.53,bench008_it13.json,700,695,1.0071942446043165,124.76,44.013,435444
text_text_ellisk_2019-01-24T22.05.53,bench009_it15.json,712,712,1.0,104.27,37.875,329804
text_text_ellisk_2019-01-24T22.05.53,bench010_it17.json,754,767,0.9830508474576272,357.12,178.147,1119432
text_text_ellisk_2019-01-25T20.19.06,bench000_it0.json,158,162,0.9753086419753086,96.32,51.729,381532
text_text_ellisk_2019-01-25T20.19.06,bench001_it1.json,249,238,1.046218487394958,127.25,70.466,632632
text_text_ellisk_2019-01-25T20.19.06,bench002_it2.json,367,314,1.1687898089171975,265.56,159.116,727892
text_text_ellisk_2019-01-25T20.19.06,bench003_it3.json,341,338,1.0088757396449703,220.99,117.789,589628
text_text_ellisk_2019-01-25T20.19.06,bench004_it4.json,408,404,1.00990099009901,253.0,132.732,699488
text_text_ellisk_2019-01-25T20.19.06,bench005_it5.json,437,434,1.0069124423963134,159.32999999999998,64.381,634900
text_text_ellisk_2019-01-25T20.19.06,bench006_it6.json,483,483,1.0,64.15,0.0,590800
text_text_ellisk_2019-01-25T20.19.06,bench007_it9.json,671,671,1.0,160.17000000000002,60.263,640444
text_text_ellisk_2019-01-25T20.19.06,bench008_it10.json,721,719,1.0027816411682893,175.18,66.313,695508
text_text_ellisk_2019-01-25T20.19.06,bench009_it11.json,763,751,1.0159786950732357,277.27,134.652,652280
towers_tower_batch_50_3600_ellisk_2019-03-26T10.51.16,bench000_it0.json,407,247,1.6477732793522266,512.83,314.346,1182488
towers_tower_batch_50_3600_ellisk_2019-03-26T10.51.16,bench001_it1.json,673,456,1.4758771929824561,1025.4,706.819,1237692
towers_tower_batch_50_3600_ellisk_2019-03-26T10.51.16,bench002_it3.json,572,549,1.041894353369763,415.87,273.904,478108
towers_tower_batch_50_3600_ellisk_2019-03-26T10.51.16,bench003_it9.json,570,538,1.0594795539033457,1012.82,622.532,1217928
towers_tower_batch_50_3600_ellisk_2019-03-26T10.54.52,bench000_it0.json,377,239,1.5774058577405858,662.22,409.884,1350960
towers_tower_batch_50_3600_ellisk_2019-03-26T10.54.52,bench001_it1.json,680,475,1.431578947368421,437.98,284.544,744464
towers_tower_batch_50_3600_ellisk_2019-03-26T10.54.52,bench002_it2.json,580,567,1.0229276895943562,848.53,592.8370000000001,1104268
towers_tower_batch_50_3600_ellisk_2019-03-26T10.54.52,bench003_it13.json,537,528,1.0170454545454546,268.05,171.794,458808
towers_tower_batch_50_3600_ellisk_2019-03-26T10.58.24,bench000_it0.json,93,93,1.0,23.23,10.575,123528
towers_tower_batch_50_3600_ellisk_2019-03-26T10.58.24,bench001_it1.json,609,498,1.2228915662650603,1011.41,717.588,1273356
towers_tower_batch_50_3600_ellisk_2019-03-26T10.58.24,bench002_it3.json,542,533,1.0168855534709194,177.6,106.148,507876
towers_tower_batch_50_3600_ellisk_2019-03-26T10.58.24,bench003_it5.json,512,495,1.0343434343434343,84.93,37.732,357200
towers_tower_batch_50_3600_ellisk_2019-03-26T11.01.50,bench000_it0.json,377,227,1.6607929515418502,715.58,440.521,1541908
towers_tower_batch_50_3600_ellisk_2019-03-26T11.01.50,bench001_it1.json,696,501,1.3892215568862276,865.76,553.306,994328
towers_tower_batch_50_3600_ellisk_2019-03-26T11.01.50,bench002_it3.json,627,563,1.1136767317939609,1457.97,942.544,785136
towers_tower_batch_50_3600_ellisk_2019-03-26T11.05.16,bench000_it0.json,533,364,1.4642857142857142,1879.42,1368.536,2778472
towers_tower_batch_50_3600_ellisk_2019-03-26T11.05.16,bench001_it1.json,642,617,1.040518638573744,1107.36,766.416,3038000
towers_tower_batch_50_3600_ellisk_2019-03-26T11.05.16,bench002_it2.json,529,492,1.0752032520325203,245.78,145.939,434664
